===================>......] - ETA: 96s - loss: 0.4327 - acc: 0.8364 
 85/140 [=================>............] - ETA: 211s - loss: 0.4258 - acc: 0.8377
 86/140 [=================>............] - ETA: 207s - loss: 0.4249 - acc: 0.8381
 87/140 [=================>............] - ETA: 203s - loss: 0.4250 - acc: 0.8376
 88/140 [=================>............] - ETA: 200s - loss: 0.4245 - acc: 0.8381
 89/140 [==================>...........] - ETA: 196s - loss: 0.4239 - acc: 0.8392
 90/140 [==================>...........] - ETA: 191s - loss: 0.4229 - acc: 0.8394
 91/140 [==================>...........] - ETA: 187s - loss: 0.4243 - acc: 0.8386
 92/140 [==================>...........] - ETA: 184s - loss: 0.4245 - acc: 0.8381
 93/140 [==================>...........] - ETA: 180s - loss: 0.4253 - acc: 0.8374
 94/140 [===================>..........] - ETA: 176s - loss: 0.4244 - acc: 0.8379
 95/140 [===================>..........] - ETA: 172s - loss: 0.4242 - acc: 0.8383
 96/140 [===================>..........] - ETA: 169s - loss: 0.4241 - acc: 0.8384
 97/140 [===================>..........] - ETA: 166s - loss: 0.4257 - acc: 0.8380
 98/140 [====================>.........] - ETA: 162s - loss: 0.4245 - acc: 0.8383
 99/140 [====================>.........] - ETA: 158s - loss: 0.4243 - acc: 0.8384
100/140 [====================>.........] - ETA: 154s - loss: 0.4241 - acc: 0.8383
101/140 [====================>.........] - ETA: 151s - loss: 0.4230 - acc: 0.8388
102/140 [====================>.........] - ETA: 147s - loss: 0.4218 - acc: 0.8388
103/140 [=====================>........] - ETA: 144s - loss: 0.4216 - acc: 0.8389
104/140 [=====================>........] - ETA: 140s - loss: 0.4249 - acc: 0.8383
105/140 [=====================>........] - ETA: 136s - loss: 0.4254 - acc: 0.8379
106/140 [=====================>........] - ETA: 132s - loss: 0.4252 - acc: 0.8379
107/140 [=====================>........] - ETA: 128s - loss: 0.4259 - acc: 0.8379
108/140 [======================>.......] - ETA: 125s - loss: 0.4249 - acc: 0.8385
109/140 [======================>.......] - ETA: 121s - loss: 0.4261 - acc: 0.8383
110/140 [======================>.......] - ETA: 117s - loss: 0.4261 - acc: 0.8384
111/140 [======================>.......] - ETA: 113s - loss: 0.4256 - acc: 0.8389
112/140 [=======================>......] - ETA: 109s - loss: 0.4252 - acc: 0.8391
113/140 [=======================>......] - ETA: 105s - loss: 0.4256 - acc: 0.8391
114/140 [=======================>......] - ETA: 101s - loss: 0.4261 - acc: 0.8391
115/140 [=======================>......] - ETA: 97s - loss: 0.4255 - acc: 0.8396 
116/140 [=======================>......] - ETA: 93s - loss: 0.4257 - acc: 0.8394
117/140 [========================>.....] - ETA: 89s - loss: 0.4252 - acc: 0.8390
118/140 [========================>.....] - ETA: 85s - loss: 0.4246 - acc: 0.8390
119/140 [========================>.....] - ETA: 81s - loss: 0.4255 - acc: 0.8388
120/140 [========================>.....] - ETA: 78s - loss: 0.4256 - acc: 0.8391
121/140 [========================>.....] - ETA: 74s - loss: 0.4251 - acc: 0.8398
122/140 [=========================>....] - ETA: 70s - loss: 0.4254 - acc: 0.8393
123/140 [=========================>....] - ETA: 66s - loss: 0.4250 - acc: 0.8397
124/140 [=========================>....] - ETA: 62s - loss: 0.4245 - acc: 0.8400
125/140 [=========================>....] - ETA: 58s - loss: 0.4253 - acc: 0.8399
126/140 [==========================>...] - ETA: 54s - loss: 0.4255 - acc: 0.8393
127/140 [==========================>...] - ETA: 50s - loss: 0.4254 - acc: 0.8395
128/140 [==========================>...] - ETA: 46s - loss: 0.4263 - acc: 0.8392
129/140 [==========================>...] - ETA: 42s - loss: 0.4273 - acc: 0.8387
130/140 [==========================>...] - ETA: 38s - loss: 0.4274 - acc: 0.8385
131/140 [===========================>..] - ETA: 35s - loss: 0.4287 - acc: 0.8387
132/140 [===========================>..] - ETA: 31s - loss: 0.4297 - acc: 0.8385
133/140 [===========================>..] - ETA: 27s - loss: 0.4291 - acc: 0.8384
134/140 [===========================>..] - ETA: 23s - loss: 0.4287 - acc: 0.8384
135/140 [===========================>..] - ETA: 19s - loss: 0.4289 - acc: 0.8382
136/140 [============================>.] - ETA: 15s - loss: 0.4287 - acc: 0.8383
137/140 [============================>.] - ETA: 11s - loss: 0.4283 - acc: 0.8384
138/140 [============================>.] - ETA: 7s - loss: 0.4280 - acc: 0.8387 
139/140 [============================>.] - ETA: 3s - loss: 0.4281 - acc: 0.8385
140/140 [==============================] - 562s - loss: 0.4273 - acc: 0.8388 - val_loss: 0.5395 - val_acc: 0.8340
Epoch 112/200
  1/140 [..............................] - ETA: 483s - loss: 0.5139 - acc: 0.8281
  2/140 [..............................] - ETA: 410s - loss: 0.5499 - acc: 0.7812
  3/140 [..............................] - ETA: 425s - loss: 0.5076 - acc: 0.7969
  4/140 [..............................] - ETA: 437s - loss: 0.4537 - acc: 0.8125
  5/140 [>.............................] - ETA: 442s - loss: 0.4412 - acc: 0.8187
  6/140 [>.............................] - ETA: 421s - loss: 0.4240 - acc: 0.8229
  7/140 [>.............................] - ETA: 421s - loss: 0.4038 - acc: 0.8281
  8/140 [>.............................] - ETA: 419s - loss: 0.4214 - acc: 0.8203
  9/140 [>.............................] - ETA: 419s - loss: 0.4148 - acc: 0.8229
 10/140 [=>............................] - ETA: 418s - loss: 0.4034 - acc: 0.8297
 11/140 [=>............................] - ETA: 429s - loss: 0.4009 - acc: 0.8366
 12/140 [=>............................] - ETA: 434s - loss: 0.4062 - acc: 0.8359
 13/140 [=>............................] - ETA: 440s - loss: 0.3989 - acc: 0.8377
 14/140 [==>...........................] - ETA: 437s - loss: 0.3994 - acc: 0.8371
 15/140 [==>...........................] - ETA: 443s - loss: 0.4022 - acc: 0.8354
 16/140 [==>...........................] - ETA: 441s - loss: 0.3980 - acc: 0.8359
